family_id,n_samples,n_pos,n_neg,similarity_adjust_intercept,similarity_adjust_slope,raw_similarity_corr,raw_auroc,raw_auprc,raw_paired_ranking_accuracy,raw_best_threshold_accuracy,raw_mean_pos_score,raw_mean_neg_score,adjusted_auroc,adjusted_auprc,adjusted_paired_ranking_accuracy,adjusted_best_threshold_accuracy,adjusted_mean_pos_score,adjusted_mean_neg_score,n_train_pos,n_train_neg
1_11_1_7,10,5,5,0.4612034639780698,0.0009213220062758553,0.09729445005831064,0.92,0.9266666666666665,0.8,0.9,0.5611439775049523,0.4597338464819515,0.92,0.9266666666666665,0.8,0.9,0.05031811026886481,-0.050318110268864166,10,5
1_14_99_56,4,2,2,-0.4318884899310166,0.015356183941172058,0.8975285522745733,1.0,1.0,1.0,1.0,0.622514720472779,0.5138512580028483,0.75,0.8333333333333333,0.5,0.75,0.010950511601154345,-0.010950511601154345,10,1
1_17_7_4,4,2,2,-0.023041525474532695,0.011222713293843166,0.575561983808892,1.0,1.0,1.0,1.0,0.6394082425545946,0.48447656737948996,1.0,1.0,1.0,1.0,0.05193416484405905,-0.051934164844059216,10,1
1_1_1_23,14,7,7,0.10253074072822956,0.006342541479409699,0.2036733419511841,1.0,0.9999999999999998,1.0,1.0,0.6622058741646656,0.36158710454816606,1.0,0.9999999999999998,1.0,1.0,0.14152043447249665,-0.14152043447249604,10,6
1_1_1_25,104,52,52,0.6043933280413091,-0.0049881639181010755,-0.2234359499489571,0.9859467455621302,0.9856863246807546,1.0,0.9615384615384616,0.5054175276229016,0.23526831523760838,0.9996301775147929,0.9996371552975329,1.0,0.9903846153846154,0.13672453733478768,-0.13672453733478768,10,52
1_1_1_37,8,4,4,0.16845049220195846,0.008444644309496091,0.8766297557765252,0.8125,0.8166666666666667,1.0,0.875,0.5484153326397836,0.49530238046895647,1.0,1.0,1.0,1.0,0.028245404947312938,-0.028245404947312633,10,4
1_1_1_38,4,2,2,-0.1531342323658976,0.01211157158963968,0.9705451863623342,1.0,1.0,1.0,1.0,0.6831002430305375,0.6039085348547673,0.5,0.5833333333333333,0.5,0.75,0.001141614290779136,-0.001141614290779136,10,1
1_1_1_94,18,9,9,0.35337847855253773,0.004413734089093117,0.47235125620940666,1.0,1.0,1.0,1.0,0.5828079180702098,0.4805787534335896,1.0,1.0,1.0,1.0,0.04665180673933823,-0.04665180673933815,10,9
1_2_1_38,10,5,5,0.38658910006420877,0.004314135811191484,0.1933292461402932,1.0,1.0,1.0,1.0,0.613555296470588,0.5338310439205791,1.0,1.0,1.0,1.0,0.04059552936290713,-0.04059552936290691,10,4
1_2_1_70,22,11,11,0.29820575610834993,0.0048065892304044126,0.25388124175508514,1.0,1.0,1.0,1.0,0.593118522007028,0.3782506464469474,1.0,1.0,1.0,1.0,0.10435335104600857,-0.10435335104600817,10,11
1_4_1_4,4,2,2,0.6817075932200608,0.00043300679656976885,0.8745333642324339,1.0,1.0,1.0,1.0,0.7115007335097232,0.7080321337658404,0.5,0.5833333333333333,0.5,0.75,2.392302549075742e-05,-2.3923025490812933e-05,10,1
1_4_3_5,6,3,3,-5.502654649990482,0.10997548651127792,0.9858642460671523,1.0,1.0,1.0,1.0,0.6897032574173068,0.38029586154004846,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.6666666666666666,0.004403866373217251,-0.004403866373214586,10,4
MEAN,17.333333333333332,8.666666666666666,8.666666666666666,-0.254521662072267,0.014446147095022682,0.514813056223936,0.9765372287968441,0.9774183048345072,0.9833333333333334,0.9780448717948719,0.6177409704554225,0.4695930371733994,0.8335802925706773,0.8827475407192388,0.8027777777777779,0.9005876068376067,0.05140527119220139,-0.05140527119220099,10.0,8.25
