family_id,n_samples,n_pos,n_neg,similarity_adjust_intercept,similarity_adjust_slope,raw_similarity_corr,raw_auroc,raw_auprc,raw_paired_ranking_accuracy,raw_best_threshold_accuracy,raw_mean_pos_score,raw_mean_neg_score,adjusted_auroc,adjusted_auprc,adjusted_paired_ranking_accuracy,adjusted_best_threshold_accuracy,adjusted_mean_pos_score,adjusted_mean_neg_score,n_train_pos,n_train_neg
1_11_1_7,10,5,5,0.11654654317551101,-0.00409585986119668,-0.073933529870382,0.92,0.9266666666666665,0.8,0.9,0.20047192806115702,-0.40514434367483637,0.92,0.9266666666666665,0.8,0.9,0.30452839700969914,-0.30452839700969936,10,5
1_14_99_56,4,2,2,-2.2154176457307004,0.03580410930820569,0.9379339644125186,1.0,1.0,1.0,1.0,0.23669779783816963,-0.004047851905779729,0.75,0.8333333333333333,0.5,0.75,0.019226216076293434,-0.01922621607629383,10,1
1_17_7_4,4,2,2,-3.0891237551031434,0.060835560373661314,0.6612845828931249,1.0,1.0,1.0,1.0,0.44498070538006673,-0.28112104663216325,1.0,1.0,1.0,1.0,0.2246499761560348,-0.22464997615603638,10,1
1_1_1_23,14,7,7,-1.7206870402969696,0.026761181024337236,0.3499870039108603,1.0,0.9999999999999998,1.0,1.0,0.3688262011130871,-0.3557141140511512,1.0,0.9999999999999998,1.0,1.0,0.32518680673410894,-0.3251868067341091,10,6
1_1_1_25,104,52,52,0.05938300972285516,-0.005474070984019165,-0.09740952723498812,0.9977810650887574,0.9978826728826732,1.0,0.9807692307692307,0.14285754816515148,-0.5377909823313014,1.0,1.0000000000000002,1.0,1.0,0.34213491949678654,-0.342134919496787,10,52
1_1_1_37,8,4,4,-1.251769840577291,0.02900084529208831,0.7475461876297083,0.8125,0.8166666666666667,1.0,0.875,0.09378336282435053,-0.1699522930311421,1.0,1.0,1.0,1.0,0.1376679969861634,-0.13766799698616458,10,4
1_1_1_38,4,2,2,-5.5781127683756315,0.08481467863258019,0.9414449271946888,1.0,1.0,1.0,1.0,0.28124085081725103,-0.2800954134525901,0.5,0.5833333333333333,0.5,0.75,0.011381527476478387,-0.011381527476478526,10,1
1_1_1_94,18,9,9,-0.40915383904949687,0.0083670156437952,0.26828015828233287,1.0,1.0,1.0,1.0,0.0969513365013329,-0.2392041505816748,0.9753086419753085,0.9765432098765432,1.0,0.9444444444444444,0.1596177610572219,-0.15961776105722214,10,9
1_2_1_38,10,5,5,-0.2327729677834481,0.0032571321284649403,0.031305280070045766,1.0,1.0,1.0,1.0,0.08750244188803064,-0.27052473663187804,1.0,1.0,1.0,1.0,0.1795673017217933,-0.17956730172179344,10,4
1_2_1_70,22,11,11,-0.5504969591994328,0.013242686773794475,0.3037319176319882,1.0,1.0,1.0,1.0,0.2089931581048303,-0.2769371200861472,1.0,1.0,1.0,1.0,0.2344777807541021,-0.23447778075410247,10,11
1_4_1_4,4,2,2,-0.7536332663904011,0.018066915170523494,0.9976183933293196,1.0,1.0,1.0,1.0,0.48825730095748787,0.34594837236155535,0.5,0.75,0.5,0.75,-0.00020985062560133216,0.00020985062560169299,10,1
1_4_3_5,6,3,3,-18.16230875253221,0.33022086872843476,0.9878397267951421,1.0,1.0,1.0,1.0,0.43032355981690223,-0.4966896784991788,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.6666666666666666,0.01220476522918242,-0.012204765229177997,10,4
MEAN,17.333333333333332,8.666666666666666,8.666666666666666,-2.8156289401783634,0.05006675518588915,0.50463575708703,0.9775234220907297,0.9784346671846672,0.9833333333333334,0.9796474358974359,0.25674051595565145,-0.24760611320969064,0.8315534979423869,0.8947119341563785,0.8027777777777779,0.8967592592592593,0.16253613317268858,-0.16253613317268858,10.0,8.25
